# Created by ensembl_prep v1.2.0 based on Ensembl release 75 (genome build GRCh37)
ENSG	GENE	ENST
ENSG00000163154	TNFAIP8L2	ENST00000368910
ENSG00000163155	LYSMD1	ENST00000368908
ENSG00000163156	SCNM1	ENST00000368905
ENSG00000163157	TMOD4	ENST00000295314
ENSG00000167103	PIP5KL1	ENST00000388747
ENSG00000135443	KRT85	ENST00000257901
ENSG00000065413	ANKRD44	ENST00000409919
ENSG00000189051	RNF222	ENST00000399398
ENSG00000189050	RNFT1	ENST00000305783
ENSG00000189052	CGB5	ENST00000301408
ENSG00000163159	VPS72	ENST00000354473
ENSG00000189057	FAM111B	ENST00000343597
ENSG00000181577	C6orf223	ENST00000336600
ENSG00000187905	AC002472.13	ENST00000342608
ENSG00000109065	NAT9	ENST00000357814
ENSG00000139344	AMDHD1	ENST00000266736
ENSG00000180626	ZNF594	ENST00000399604
ENSG00000111667	USP5	ENST00000229268
ENSG00000111666	CHPT1	ENST00000229266
ENSG00000111665	CDCA3	ENST00000538862
ENSG00000111664	GNB3	ENST00000229264
ENSG00000111199	TRPV4	ENST00000418703
ENSG00000038358	EDC4	ENST00000358933
ENSG00000111669	TPI1	ENST00000229270
ENSG00000239732	TLR9	ENST00000360658
ENSG00000180628	PCGF5	ENST00000336126
ENSG00000087302	C14orf166	ENST00000261700
ENSG00000087303	NID2	ENST00000216286
ENSG00000188452	CERKL	ENST00000339098
ENSG00000114019	AMOTL2	ENST00000514516
ENSG00000196935	SRGAP1	ENST00000355086
ENSG00000166856	GPR182	ENST00000300098
ENSG00000178093	TSSK6	ENST00000360913
ENSG00000166855	CLPX	ENST00000300107
ENSG00000114013	CD86	ENST00000330540
ENSG00000086102	NFX1	ENST00000379540
ENSG00000177425	PAWR	ENST00000328827
ENSG00000204310	AGPAT1	ENST00000395499
ENSG00000165028	NIPSNAP3B	ENST00000374762
ENSG00000103507	BCKDK	ENST00000394951
ENSG00000261667	RP11-520P18.5	ENST00000562505
ENSG00000261934	PCDHGA9	ENST00000573521
ENSG00000168453	HR	ENST00000381418
ENSG00000163374	YY1AP1	ENST00000368339
ENSG00000163376	KBTBD8	ENST00000417314
ENSG00000163377	FAM19A4	ENST00000295569
ENSG00000163378	EOGT	ENST00000383701
ENSG00000076685	NT5C2	ENST00000343289
ENSG00000048140	TSPAN17	ENST00000310032
ENSG00000105983	LMBR1	ENST00000353442
ENSG00000105982	RNF32	ENST00000405335
ENSG00000165029	ABCA1	ENST00000374736
ENSG00000267796	LIN37	ENST00000301159
ENSG00000267795	SMIM22	ENST00000589327
ENSG00000167751	KLK2	ENST00000325321
ENSG00000116703	PDC	ENST00000391997
ENSG00000259495	RP11-210M15.2	ENST00000559008
ENSG00000109208	SMR3A	ENST00000226460
ENSG00000012061	ERCC1	ENST00000013807
ENSG00000167757	KLK11	ENST00000594768
ENSG00000176273	SLC35G1	ENST00000427197
ENSG00000083799	CYLD	ENST00000311559
ENSG00000176274	SLC25A53	ENST00000357421
ENSG00000167755	KLK6	ENST00000376851
ENSG00000139343	SNRPF	ENST00000266735
ENSG00000056050	C4orf27	ENST00000393381
ENSG00000149043	SYT8	ENST00000381968
ENSG00000146063	TRIM41	ENST00000315073
ENSG00000182611	HIST1H2AJ	ENST00000333151
ENSG00000136897	MRPL50	ENST00000374865
ENSG00000181689	OR8K3	ENST00000312711
ENSG00000146067	FAM193B	ENST00000514747
ENSG00000146066	HIGD2A	ENST00000274787
ENSG00000178882	FAM101A	ENST00000324038
ENSG00000187811	AP000867.1	ENST00000343767
ENSG00000133111	RFXAP	ENST00000255476
ENSG00000138670	RASGEF1B	ENST00000264400
ENSG00000128849	CGNL1	ENST00000281282
ENSG00000064393	HIPK2	ENST00000406875
ENSG00000138675	FGF5	ENST00000312465
ENSG00000138674	SEC31A	ENST00000395310
ENSG00000133116	KL	ENST00000380099
ENSG00000133119	RFC3	ENST00000380071
ENSG00000169026	MFSD7	ENST00000322224
ENSG00000172590	MRPL52	ENST00000355151
ENSG00000224470	ATXN1L	ENST00000427980
ENSG00000180917	CMTR2	ENST00000338099
ENSG00000172594	SMPDL3A	ENST00000368440
ENSG00000225526	C3orf83	ENST00000564146
ENSG00000142961	MOB3C	ENST00000271139
ENSG00000188906	LRRK2	ENST00000298910
ENSG00000244414	CFHR1	ENST00000320493
ENSG00000162687	KCNT2	ENST00000294725
ENSG00000166501	PRKCB	ENST00000303531
ENSG00000244411	KRTAP5-7	ENST00000398536
ENSG00000089127	OAS1	ENST00000445409
ENSG00000162688	AGL	ENST00000294724
ENSG00000182348	ZNF804B	ENST00000333190
ENSG00000188909	BSX	ENST00000343035
ENSG00000160961	ZNF333	ENST00000292530
ENSG00000152520	PAN3	ENST00000380958
ENSG00000067829	IDH3G	ENST00000217901
ENSG00000186501	TMEM222	ENST00000374076
ENSG00000157005	SST	ENST00000287641
ENSG00000152527	PLEKHH2	ENST00000282406
ENSG00000100216	TOMM22	ENST00000216034
ENSG00000146247	PHIP	ENST00000275034
ENSG00000186509	OR9Q1	ENST00000335397
ENSG00000088305	DNMT3B	ENST00000328111
ENSG00000053747	LAMA3	ENST00000313654
ENSG00000146243	IRAK1BP1	ENST00000369940
ENSG00000146242	TPBG	ENST00000369750
ENSG00000258588	TRIM6-TRIM34	ENST00000354852
ENSG00000184014	DENND5A	ENST00000328194
ENSG00000184012	TMPRSS2	ENST00000398585
ENSG00000268241	AC018470.1	ENST00000595354
ENSG00000163485	ADORA1	ENST00000367236
ENSG00000163482	STK36	ENST00000295709
ENSG00000091947	TMEM101	ENST00000589334
ENSG00000163481	RNF25	ENST00000295704
ENSG00000112367	FIG4	ENST00000230124
ENSG00000172377	OR9I1	ENST00000302610
ENSG00000249104	USP17L17	ENST00000511568
ENSG00000172375	C2CD2L	ENST00000336702
ENSG00000179826	MRGPRX3	ENST00000396275
ENSG00000065989	PDE4A	ENST00000352831
ENSG00000162426	SLC45A1	ENST00000471889
ENSG00000066336	SPI1	ENST00000227163
ENSG00000205078	SYCE1L	ENST00000378644
ENSG00000249109	RP11-1026M7.2	ENST00000502515
ENSG00000188322	SBK1	ENST00000341901
ENSG00000054983	GALC	ENST00000261304
ENSG00000108559	NUP88	ENST00000573584
ENSG00000108557	RAI1	ENST00000353383
ENSG00000091513	TF	ENST00000402696
ENSG00000114902	SPCS1	ENST00000233025
ENSG00000108001	EBF3	ENST00000368648
ENSG00000114904	NEK4	ENST00000233027
ENSG00000108551	RASD1	ENST00000225688
ENSG00000204118	NAP1L6	ENST00000373518
ENSG00000151952	TMEM132D	ENST00000422113
ENSG00000204116	CHIC1	ENST00000373502
ENSG00000103423	DNAJA3	ENST00000262375
ENSG00000268403	AC132192.1	ENST00000596206
ENSG00000119537	KDSR	ENST00000406396
ENSG00000119535	CSF3R	ENST00000373103
ENSG00000213658	LAT	ENST00000395461
ENSG00000149090	PAMR1	ENST00000278360
ENSG00000137145	DENND4C	ENST00000602925
ENSG00000137142	IGFBPL1	ENST00000377694
ENSG00000268936	AP003062.1	ENST00000597621
ENSG00000206172	HBA1	ENST00000320868
ENSG00000258890	CEP95	ENST00000556440
ENSG00000267893	AC007461.1	ENST00000602013
ENSG00000214397	DKFZP779J2370	ENST00000378904
ENSG00000109062	SLC9A3R1	ENST00000262613
ENSG00000101391	CDK5RAP1	ENST00000346416
ENSG00000173976	RAX2	ENST00000555633
ENSG00000084453	SLCO1A2	ENST00000307378
ENSG00000233889	AL353698.1	ENST00000433279
ENSG00000265944	C18orf64	ENST00000584361
ENSG00000139985	ADAM21	ENST00000603540
ENSG00000151914	DST	ENST00000244364
ENSG00000139988	RDH12	ENST00000551171
ENSG00000136636	KCTD3	ENST00000259154
ENSG00000136634	IL10	ENST00000423557
ENSG00000149196	C11orf73	ENST00000278483
ENSG00000136631	VPS45	ENST00000369130
ENSG00000136630	HLX	ENST00000366903
ENSG00000267906	AC073333.1	ENST00000597084
ENSG00000185697	MYBL1	ENST00000522677
ENSG00000099617	EFNA2	ENST00000215368
ENSG00000155275	TRMT44	ENST00000389737
ENSG00000145604	SKP2	ENST00000274255
ENSG00000101407	TTI1	ENST00000373448
ENSG00000101405	OXT	ENST00000217386
ENSG00000153922	CHD1	ENST00000284049
ENSG00000101400	SNTA1	ENST00000217381
ENSG00000159556	ISL2	ENST00000290759
ENSG00000137561	TTPA	ENST00000260116
ENSG00000164904	ALDH7A1	ENST00000409134
ENSG00000137857	DUOX1	ENST00000321429
ENSG00000164902	PHAX	ENST00000297540
ENSG00000087111	PIGS	ENST00000308360
ENSG00000164900	GBX1	ENST00000297537
ENSG00000104320	NBN	ENST00000265433
ENSG00000104321	TRPA1	ENST00000262209
ENSG00000159123	DMRTC1	ENST00000373529
ENSG00000104324	CPQ	ENST00000220763
ENSG00000104325	DECR1	ENST00000220764
ENSG00000001561	ENPP4	ENST00000321037
ENSG00000139180	NDUFA9	ENST00000266544
ENSG00000180822	PSMG4	ENST00000419065
ENSG00000139182	CLSTN3	ENST00000266546
ENSG00000112964	GHR	ENST00000230882
ENSG00000139187	KLRG1	ENST00000356986
ENSG00000122912	SLC25A16	ENST00000609923
ENSG00000129465	RIPK3	ENST00000216274
ENSG00000113360	DROSHA	ENST00000511367
ENSG00000113361	CDH6	ENST00000265071
ENSG00000080189	SLC35C2	ENST00000543605
ENSG00000104059	FAM189A1	ENST00000261275
ENSG00000173868	PHOSPHO1	ENST00000413580
ENSG00000058600	POLR3E	ENST00000299853
ENSG00000113368	LMNB1	ENST00000261366
ENSG00000113369	ARRDC3	ENST00000265138
ENSG00000185523	C1orf227	ENST00000332912
ENSG00000185522	C11orf35	ENST00000329451
ENSG00000145741	BTF3	ENST00000380591
ENSG00000145740	SLC30A5	ENST00000396591
ENSG00000183598	HIST2H3D	ENST00000331491
ENSG00000101074	R3HDML	ENST00000217043
ENSG00000129460	NGDN	ENST00000408901
ENSG00000215421	ZNF407	ENST00000299687
ENSG00000101251	SEL1L2	ENST00000378072
ENSG00000253251	CTC-534A2.2	ENST00000510585
ENSG00000253250	C8orf88	ENST00000517562
ENSG00000183597	TANGO2	ENST00000401833
ENSG00000154856	APCDD1	ENST00000355285
ENSG00000257017	HP	ENST00000355906
ENSG00000124126	PREX1	ENST00000371941
ENSG00000105520	DKFZP761J1410	ENST00000591608
ENSG00000181991	MRPS11	ENST00000325844
ENSG00000159228	CBR1	ENST00000290349
ENSG00000257019	OR13C2	ENST00000542196
ENSG00000205246	RPSAP58	ENST00000496398
ENSG00000082213	C5orf22	ENST00000325366
ENSG00000082212	ME2	ENST00000321341
ENSG00000177556	ATOX1	ENST00000524142
ENSG00000103253	HAGHL	ENST00000389703
ENSG00000113100	CDH9	ENST00000231021
ENSG00000154736	ADAMTS5	ENST00000284987
ENSG00000214518	KRTAP2-2	ENST00000398477
ENSG00000177558	FAM187B	ENST00000324675
ENSG00000113108	APBB3	ENST00000354402
ENSG00000100298	APOBEC3H	ENST00000401756
ENSG00000085265	FCN1	ENST00000371806
ENSG00000130311	DDA1	ENST00000359866
ENSG00000239839	DEFA3	ENST00000327857
ENSG00000128829	EIF2AK4	ENST00000263791
ENSG00000105357	MYH14	ENST00000601313
ENSG00000148826	NKX6-2	ENST00000368592
ENSG00000148606	POLR3A	ENST00000372371
ENSG00000133805	AMPD3	ENST00000396554
ENSG00000081154	PCNP	ENST00000265260
ENSG00000148602	LRIT1	ENST00000372105
ENSG00000139835	GRTP1	ENST00000375430
ENSG00000153707	PTPRD	ENST00000381196
ENSG00000148824	MTG1	ENST00000317502
ENSG00000139618	BRCA2	ENST00000380152
ENSG00000104635	SLC39A14	ENST00000381237
ENSG00000175344	CHRNA7	ENST00000454250
ENSG00000166884	OR4D6	ENST00000300127
ENSG00000107859	PITX3	ENST00000370002
ENSG00000256053	APOPT1	ENST00000409074
ENSG00000151789	ZNF385D	ENST00000281523
ENSG00000117281	CD160	ENST00000235933
ENSG00000117280	RAB7L1	ENST00000367139
ENSG00000100290	BIK	ENST00000216115
ENSG00000184185	KCNJ12	ENST00000583088
ENSG00000107672	NSMCE4A	ENST00000369023
ENSG00000117289	TXNIP	ENST00000369317
ENSG00000107854	TNKS2	ENST00000371627
ENSG00000068697	LAPTM4A	ENST00000175091
ENSG00000125498	KIR2DL1	ENST00000336077
ENSG00000125780	TGM3	ENST00000381458
ENSG00000053328	METTL24	ENST00000338882
ENSG00000169084	DHRSX	ENST00000334651
ENSG00000169085	C8orf46	ENST00000305454
ENSG00000169087	HSPBAP1	ENST00000306103
ENSG00000121931	LRIF1	ENST00000369763
ENSG00000121933	ADORA3	ENST00000369716
ENSG00000156521	TYSND1	ENST00000287078
ENSG00000100154	TTC28	ENST00000397906
ENSG00000156831	NSMCE2	ENST00000287437
ENSG00000139610	CELA1	ENST00000293636
ENSG00000146809	ASB15	ENST00000451558
ENSG00000164010	ERMAP	ENST00000372517
ENSG00000164011	ZNF691	ENST00000397044
ENSG00000100036	SLC35E4	ENST00000343605
ENSG00000198771	RCSD1	ENST00000367854
ENSG00000150787	PTS	ENST00000280362
ENSG00000124019	FAM124B	ENST00000409685
ENSG00000120049	KCNIP2	ENST00000461105
ENSG00000182974	OR4M2	ENST00000332663
ENSG00000182973	CNOT10	ENST00000454516
ENSG00000150782	IL18	ENST00000280357
ENSG00000171611	PTCRA	ENST00000304672
ENSG00000197241	SLC2A7	ENST00000400906
ENSG00000172551	MUCL1	ENST00000308796
ENSG00000175779	C15orf53	ENST00000318792
ENSG00000197245	FAM110D	ENST00000374268
ENSG00000171617	ENC1	ENST00000302351
ENSG00000176049	JAKMIP2	ENST00000265272
ENSG00000123545	NDUFAF4	ENST00000316149
ENSG00000131183	SLC34A1	ENST00000324417
ENSG00000141759	TXNL4A	ENST00000269601
ENSG00000131187	F12	ENST00000253496
ENSG00000176040	TMPRSS7	ENST00000419127
ENSG00000037749	MFAP3	ENST00000436816
ENSG00000123892	RAB38	ENST00000243662
ENSG00000170866	LILRA3	ENST00000251390
ENSG00000176046	NUPR1	ENST00000395641
ENSG00000140950	TLDC1	ENST00000343629
ENSG00000243477	NAT6	ENST00000354862
ENSG00000105866	SP4	ENST00000222584
ENSG00000160867	FGFR4	ENST00000292408
ENSG00000160868	CYP3A4	ENST00000336411
ENSG00000110455	ACCS	ENST00000263776
ENSG00000170522	ELOVL6	ENST00000394607
ENSG00000083168	KAT6A	ENST00000396930
ENSG00000125726	CD70	ENST00000245903
ENSG00000198558	HIST1H4L	ENST00000355981
ENSG00000156787	TBC1D31	ENST00000287380
ENSG00000102802	MEDAG	ENST00000380482
ENSG00000189266	PNRC2	ENST00000334351
ENSG00000143603	KCNN3	ENST00000271915
ENSG00000168131	OR2B2	ENST00000303324
ENSG00000143353	LYPLAL1	ENST00000366928
ENSG00000168137	SETD5	ENST00000402198
ENSG00000143355	LHX9	ENST00000367387
ENSG00000198554	WDHD1	ENST00000360586
ENSG00000164402	SEPT8	ENST00000378719
ENSG00000111859	NEDD9	ENST00000379446
ENSG00000131037	EPS8L1	ENST00000201647
ENSG00000126861	OMG	ENST00000247271
ENSG00000161999	JMJD8	ENST00000412368
ENSG00000111850	SMIM8	ENST00000392863
ENSG00000135045	C9orf40	ENST00000376854
ENSG00000161992	C16orf11	ENST00000409413
ENSG00000075223	SEMA3C	ENST00000265361
ENSG00000171928	TVP23B	ENST00000307767
ENSG00000147364	FBXO25	ENST00000276326
ENSG00000123091	RNF11	ENST00000242719
ENSG00000123095	BHLHE41	ENST00000242728
ENSG00000169629	RGPD8	ENST00000302558
ENSG00000123096	SSPN	ENST00000242729
ENSG00000160716	CHRNB2	ENST00000368476
ENSG00000100053	CRYBB3	ENST00000215855
ENSG00000160714	UBE2Q1	ENST00000292211
ENSG00000169621	APLF	ENST00000303795
ENSG00000086061	DNAJA1	ENST00000330899
ENSG00000160710	ADAR	ENST00000368474
ENSG00000096088	PGC	ENST00000373025
ENSG00000136950	ARPC5L	ENST00000353214
ENSG00000042813	ZPBP	ENST00000046087
ENSG00000088826	SMOX	ENST00000305958
ENSG00000083307	GRHL2	ENST00000251808
ENSG00000178473	UCN3	ENST00000380433
ENSG00000096080	MRPS18A	ENST00000372133
ENSG00000144810	COL8A1	ENST00000261037
ENSG00000170619	COMMD5	ENST00000450361
ENSG00000198610	AKR1C4	ENST00000380448
ENSG00000168685	IL7R	ENST00000303115
ENSG00000007171	NOS2	ENST00000313735
ENSG00000153495	TEX29	ENST00000283547
ENSG00000267270	AC139100.2	ENST00000586421
ENSG00000198961	PJA2	ENST00000361189
ENSG00000222001	AC106876.2	ENST00000409905
ENSG00000175467	SART1	ENST00000312397
ENSG00000171532	NEUROD2	ENST00000302584
ENSG00000013364	MVP	ENST00000357402
ENSG00000198960	ARMCX6	ENST00000539247
ENSG00000175463	TBC1D10C	ENST00000312390
ENSG00000189195	BTBD8	ENST00000342818
ENSG00000153498	SPACA7	ENST00000283550
ENSG00000197860	SGTB	ENST00000381007
ENSG00000105402	NAPA	ENST00000263354
ENSG00000043143	JADE2	ENST00000395003
ENSG00000105401	CDC37	ENST00000222005
ENSG00000143867	OSR1	ENST00000536433
ENSG00000105404	RABAC1	ENST00000222008
ENSG00000092345	DAZL	ENST00000250863
ENSG00000144815	NXPE3	ENST00000422132
ENSG00000092439	TRPM7	ENST00000313478
ENSG00000175155	YPEL2	ENST00000312655
ENSG00000109381	ELF2	ENST00000394235
ENSG00000170684	ZNF296	ENST00000303809
ENSG00000140455	USP3	ENST00000380324
ENSG00000160471	COX6B2	ENST00000593184
ENSG00000147548	WHSC1L1	ENST00000317025
ENSG00000132185	FCRLA	ENST00000367959
ENSG00000215346	AF131215.5	ENST00000400102
ENSG00000169976	SF3B5	ENST00000367569
ENSG00000149380	P4HA3	ENST00000331597
ENSG00000215343	ZNF705D	ENST00000400085
ENSG00000132182	NUP210	ENST00000254508
ENSG00000102572	STK24	ENST00000376547
ENSG00000177311	ZBTB38	ENST00000514251
ENSG00000222009	BTBD19	ENST00000450269
ENSG00000216921	AC131097.4	ENST00000404031
ENSG00000166265	CYYR1	ENST00000299340
ENSG00000143977	SNRPG	ENST00000272348
ENSG00000143970	ASXL2	ENST00000435504
ENSG00000143971	ETAA1	ENST00000272342
ENSG00000135912	TTLL4	ENST00000392102
ENSG00000153140	CETN3	ENST00000283122
ENSG00000103942	HOMER2	ENST00000304231
ENSG00000153147	SMARCA5	ENST00000283131
ENSG00000139405	RITA1	ENST00000552495
ENSG00000023228	NDUFS1	ENST00000455934
ENSG00000111276	CDKN1B	ENST00000228872
ENSG00000205884	DEFB136	ENST00000382209
ENSG00000205883	DEFB135	ENST00000382208
ENSG00000205882	DEFB134	ENST00000526438
ENSG00000197343	ZNF655	ENST00000424881
ENSG00000196235	SUPT5H	ENST00000599117
ENSG00000135974	C2orf49	ENST00000258457
ENSG00000131238	PPT1	ENST00000433473
ENSG00000135976	ANKRD36	ENST00000420699
ENSG00000142002	DPP9	ENST00000262960
ENSG00000135973	GPR45	ENST00000258456
ENSG00000135972	MRPS9	ENST00000258455
ENSG00000185928	PAGR1	ENST00000320330
ENSG00000135750	KCNK1	ENST00000366621
ENSG00000188021	UBQLN2	ENST00000338222
ENSG00000142552	RCN3	ENST00000270645
ENSG00000131236	CAP1	ENST00000372797
ENSG00000188026	RILPL1	ENST00000376874
ENSG00000239697	TNFSF12	ENST00000557233
ENSG00000142556	ZNF614	ENST00000270649
ENSG00000136404	TM6SF1	ENST00000322019
ENSG00000132768	DPH2	ENST00000255108
ENSG00000034693	PEX3	ENST00000367591
ENSG00000175832	ETV4	ENST00000319349
ENSG00000108946	PRKAR1A	ENST00000392711
ENSG00000108947	EFNB3	ENST00000226091
ENSG00000166337	TAF10	ENST00000299424
ENSG00000132763	MMACHC	ENST00000401061
ENSG00000165623	UCMA	ENST00000378681
ENSG00000165996	PTPLA	ENST00000361271
ENSG00000165997	ARL5B	ENST00000377275
ENSG00000165626	BEND7	ENST00000341083
ENSG00000165995	CACNB2	ENST00000324631
ENSG00000163749	CCDC158	ENST00000388914
ENSG00000183208	GDPGP1	ENST00000558017
ENSG00000153006	SREK1IP1	ENST00000513458
ENSG00000196503	ARL9	ENST00000360096
ENSG00000258873	DUXA	ENST00000554048
ENSG00000153002	CPB1	ENST00000491148
ENSG00000240747	KRBOX1	ENST00000418176
ENSG00000055917	PUM2	ENST00000338086
ENSG00000163743	RCHY1	ENST00000324439
ENSG00000177732	SOX12	ENST00000342665
ENSG00000237198	FAM27E1	ENST00000377525
ENSG00000084652	TXLNA	ENST00000373609
ENSG00000163746	PLSCR2	ENST00000497985
ENSG00000187048	CYP4A11	ENST00000310638
ENSG00000187049	TMEM216	ENST00000515837
ENSG00000110955	ATP5B	ENST00000262030
ENSG00000214694	ARHGEF33	ENST00000409978
ENSG00000101444	AHCY	ENST00000217426
ENSG00000242875	RBMY1B	ENST00000383020
ENSG00000183695	MRGPRX2	ENST00000329773
ENSG00000119596	YLPM1	ENST00000325680
ENSG00000180011	ZADH2	ENST00000322342
ENSG00000172167	MTBP	ENST00000305949
ENSG00000187045	TMPRSS6	ENST00000346753
ENSG00000172164	SNTB1	ENST00000395601
ENSG00000141086	CTRL	ENST00000574481
ENSG00000196502	SULT1A1	ENST00000395609
ENSG00000114738	MAPKAPK3	ENST00000446044
ENSG00000114739	ACVR2B	ENST00000352511
ENSG00000114737	CISH	ENST00000443053
ENSG00000114735	HEMK1	ENST00000232854
ENSG00000011114	BTBD7	ENST00000334746
ENSG00000165192	ASB11	ENST00000480796
ENSG00000185753	CXorf38	ENST00000327877
ENSG00000185751	XAGE2	ENST00000330906
ENSG00000165197	FIGF	ENST00000297904
ENSG00000197043	ANXA6	ENST00000354546
ENSG00000165195	PIGA	ENST00000333590
ENSG00000084110	HAL	ENST00000261208
ENSG00000185758	CLDN24	ENST00000541814
ENSG00000115170	ACVR1	ENST00000263640
ENSG00000165644	COMTD1	ENST00000372538
ENSG00000100473	COCH	ENST00000396618
ENSG00000205476	CCDC85C	ENST00000380243
ENSG00000124713	GNMT	ENST00000372808
ENSG00000213420	GPC2	ENST00000292377
ENSG00000257955	RP1-228P16.5	ENST00000547602
ENSG00000148386	LCN9	ENST00000277526
ENSG00000148384	INPP5E	ENST00000371712
ENSG00000101327	PDYN	ENST00000217305
ENSG00000127507	EMR2	ENST00000315576
ENSG00000125912	NCLN	ENST00000246117
ENSG00000010361	FUZ	ENST00000313777
ENSG00000100014	SPECC1L	ENST00000314328
ENSG00000172889	EGFL7	ENST00000371699
ENSG00000020426	MNAT1	ENST00000261245
ENSG00000112773	FAM46A	ENST00000320172
ENSG00000258465	DCAF8	ENST00000556710
ENSG00000128989	ARPP19	ENST00000566423
ENSG00000164941	INTS8	ENST00000523731
ENSG00000244588	RAD21L1	ENST00000409241
ENSG00000137814	HAUS2	ENST00000260372
ENSG00000101746	NOL4	ENST00000261592
ENSG00000120457	KCNJ5	ENST00000529694
ENSG00000101871	MID1	ENST00000317552
ENSG00000237957	CT47A5	ENST00000439466
ENSG00000141428	C18orf21	ENST00000592875
ENSG00000111537	IFNG	ENST00000229135
ENSG00000137817	PARP6	ENST00000569795
ENSG00000111536	IL26	ENST00000229134
ENSG00000204084	INPP5B	ENST00000373024
ENSG00000164574	GALNT10	ENST00000297107
ENSG00000138442	WDR12	ENST00000261015
ENSG00000138443	ABI2	ENST00000295851
ENSG00000172789	HOXC5	ENST00000312492
ENSG00000173208	ABCD2	ENST00000308666
ENSG00000227551	USP17L12	ENST00000415041
ENSG00000136930	PSMB7	ENST00000259457
ENSG00000257482	ZNF727	ENST00000550760
ENSG00000149636	DSN1	ENST00000426836
ENSG00000138119	MYOF	ENST00000359263
ENSG00000138448	ITGAV	ENST00000261023
ENSG00000138449	SLC40A1	ENST00000261024
ENSG00000159335	PTMS	ENST00000309083
ENSG00000182158	CREB3L2	ENST00000330387
ENSG00000159337	PLA2G4D	ENST00000290472
ENSG00000172331	BPGM	ENST00000393132
ENSG00000144724	PTPRG	ENST00000474889
ENSG00000136932	C9orf156	ENST00000375119
ENSG00000104133	SPG11	ENST00000261866
ENSG00000156689	GLYATL2	ENST00000287275
ENSG00000244624	KRTAP20-1	ENST00000334664
ENSG00000182150	ERCC6L2	ENST00000288985
ENSG00000136933	RABEPK	ENST00000373538
ENSG00000159339	PADI4	ENST00000375448
ENSG00000182154	MRPL41	ENST00000371443
ENSG00000244623	OR2AE1	ENST00000316368
ENSG00000126067	PSMB2	ENST00000373237
ENSG00000147145	LPAR4	ENST00000435339
ENSG00000186314	PRELID2	ENST00000334744
ENSG00000103742	IGDCC4	ENST00000352385
ENSG00000126062	TMEM115	ENST00000266025
ENSG00000147144	CCDC120	ENST00000603986
ENSG00000166333	ILK	ENST00000396751
ENSG00000173566	NUDT18	ENST00000309188
ENSG00000173567	GPR113	ENST00000311519
ENSG00000196437	ZNF569	ENST00000316950
ENSG00000113328	CCNG1	ENST00000340828
ENSG00000125266	EFNB2	ENST00000245323
ENSG00000010295	IFFO1	ENST00000356896
ENSG00000196433	ASMT	ENST00000381241
ENSG00000158423	RIBC1	ENST00000375327
ENSG00000196923	PDLIM7	ENST00000355841
ENSG00000196381	ZNF781	ENST00000358582
ENSG00000174780	SRP72	ENST00000342756
ENSG00000137460	FHDC1	ENST00000511601
ENSG00000158428	C2orf62	ENST00000289388
ENSG00000137462	TLR2	ENST00000260010
ENSG00000164713	BRI3	ENST00000297290
ENSG00000181830	SLC35C1	ENST00000314134
ENSG00000168918	INPP5D	ENST00000359570
ENSG00000164715	LMTK2	ENST00000297293
ENSG00000128512	DOCK4	ENST00000437633
ENSG00000178279	TNP2	ENST00000312693
ENSG00000112195	TREML2	ENST00000483722
ENSG00000168917	SLC35G2	ENST00000446465
ENSG00000135622	SEMA4F	ENST00000357877
ENSG00000128519	TAS2R16	ENST00000249284
ENSG00000168913	ENHO	ENST00000399775
ENSG00000105245	NUMBL	ENST00000252891
ENSG00000173276	ZBTB21	ENST00000310826
ENSG00000197520	FAM177B	ENST00000445590
ENSG00000120727	PAIP2	ENST00000394795
ENSG00000120725	SIL1	ENST00000394817
ENSG00000175928	LRRN1	ENST00000319331
ENSG00000120729	MYOT	ENST00000239926
ENSG00000135378	PRRG4	ENST00000257836
ENSG00000142347	MYO1F	ENST00000338257
ENSG00000122584	NXPH1	ENST00000405863
ENSG00000122585	NPY	ENST00000407573
ENSG00000179477	ALOX12B	ENST00000319144
ENSG00000117877	CD3EAP	ENST00000309424
ENSG00000166507	NDST2	ENST00000309979
ENSG00000117707	PROX1	ENST00000366958
ENSG00000204308	RNF5	ENST00000375094
ENSG00000142444	C19orf52	ENST00000270502
ENSG00000204305	AGER	ENST00000375076
ENSG00000204304	PBX2	ENST00000375050
ENSG00000251503	APITD1-CORT	ENST00000400900
ENSG00000204301	NOTCH4	ENST00000375023
ENSG00000204300	TMEM225	ENST00000375026
ENSG00000196653	ZNF502	ENST00000296091
ENSG00000196652	ZKSCAN5	ENST00000394170
ENSG00000232125	DYTN	ENST00000452335
ENSG00000121057	AKAP1	ENST00000337714
ENSG00000174255	ZNF80	ENST00000482457
ENSG00000185340	GAS2L1	ENST00000406549
ENSG00000170209	ANKK1	ENST00000303941
ENSG00000196659	TTC30B	ENST00000408939
ENSG00000121058	COIL	ENST00000240316
ENSG00000204909	SPINK9	ENST00000377906
ENSG00000178184	PARD6G	ENST00000353265
ENSG00000182568	SATB1	ENST00000417717
ENSG00000112996	MRPS30	ENST00000507110
ENSG00000168995	SIGLEC7	ENST00000317643
ENSG00000178206	CYP4F31P	ENST00000416266
ENSG00000112992	NNT	ENST00000264663
ENSG00000159840	ZYX	ENST00000322764
ENSG00000054796	SPO11	ENST00000371263
ENSG00000159593	NAE1	ENST00000359087
ENSG00000159592	GPBP1L1	ENST00000355105
ENSG00000054793	ATP9A	ENST00000338821
